domain,id,original_length,encoded_bytes,decoded_match,unsupported_char_count,verdict
MAIN_GAME,0x710E,32,32,YES,0,PASS
MAIN_GAME,0x710F,64,64,YES,0,PASS
MAIN_GAME,0x7110,92,92,YES,0,PASS
MAIN_GAME,0x7111,62,62,YES,0,PASS
MAIN_GAME,0x7112,65,65,YES,0,PASS
MAIN_GAME,0x7113,109,109,YES,0,PASS
MAIN_GAME,0x7114,35,35,YES,0,PASS
MAIN_GAME,0x7115,42,42,YES,0,PASS
MAIN_GAME,0x7116,97,86,YES,0,PASS
MAIN_GAME,0x7117,31,31,YES,0,PASS
MAIN_GAME,0x7118,35,35,YES,0,PASS
MAIN_GAME,0x7119,96,96,YES,0,PASS
MAIN_GAME,0x711A,40,40,YES,0,PASS
MAIN_GAME,0x711B,37,37,YES,0,PASS
